"","protein","X60_1","X60_2","X60_3","X60_4","X100_1","X100_2","X100_3","X100_4","X200_1","X200_2","X200_3","X200_4","X300_1","X300_2","X300_3","X300_4","X1000_1","X1000_2","X1000_3","X1000_4"
"1","sll0002",378501.44955,228655.038207,80795.6765195,111445.438329,269969.852124,145199.300149,72272.6521457,107682.762856,163260.191918,103159.807535,76150.0843004,107992.158431,131338.918696,247333.006819,178434.517289,174664.674276,216500.61019,162933.433072,376343.018865,123931.301012
"2","sll0006",5248117.50291,4423997.47766,2428487.80022,2221739.07803,3657226.06323,1743149.734759,3053397.896197,948244.042998,2635012.26979,2457939.13255,2518620.84026,3283434.79625,1704320.563064,1648631.906692,1625493.691954,1901252.42829,1867869.225381,2215589.836905,4010416.285964,3029453.845337
"3","sll0007",2704805.00064,2120015.644278,1653064.696178,1857739.177502,2750758.85875,1635077.913521,1701698.217911,1299046.41625,3072681.929912,2780294.88737,2942168.745187,2675478.73589,5025207.758017,2752636.65104,3369172.751848,2885913.357961,6805216.49363,3519123.74174,4372831.8654,1476021.913762
"4","sll0016",298721.582110474,1469661.39996917,774090.307450266,863748.075209193,938844.315380975,803860.386186651,1169564.25215279,1850825.65648413,2666316.93841525,3002592.62693647,1197497.3308025,1547816.56447236,1473146.73412884,1476407.4693824,2802613.31714437,2644126.74194777,948787.45236933,4152778.41613821,2350663.56985809,2951314.60174753
"5","sll0017",8038509.24132928,15636209.8160536,12414745.6827032,14159911.1217318,11136035.1169036,14581099.0650971,12966523.5315467,15130928.9651542,25493058.2545826,25301278.9806123,21198672.0349474,28200417.3821253,19941246.9008422,26020635.4508993,23830382.475046,21900687.4937854,35766237.1332793,24401159.6051723,34181693.4947231,23587214.7864008
"6","sll0018",48464111.1801,39549142.31073,60890617.5809,50510850.6216,28419053.1759,59285769.4056,58853221.2522,52626304.52048,29394206.34518,15847734.90867,36388269.73525,11990832.1611,33287858.60382,9612711.86611,10404646.44322,12910064.98353,4517918.207448,3651835.336123,4784374.84447,2072402.624357
"7","sll0019",5018675.83015018,4718435.5547434,3395364.12886789,3576885.14304338,3951580.51063824,2583656.01521015,3283226.49617249,1339212.95162576,4938031.24232601,5317345.5575988,4415378.09348132,6461985.23878542,4342767.34493395,6016563.87115074,5032071.47135632,4855703.35957848,7092485.27928566,5782115.19895573,8482828.13686448,5596342.22891311
"8","sll0020",21557939.2949903,22153879.0485915,16568557.3165428,14491069.2618648,21157650.866353,13829322.8560278,15021640.4565364,9413524.20383479,30712807.332526,32617070.0153434,24582582.3903776,36569763.6523534,22625201.9529624,37858667.5029684,32844708.6186097,30395145.9482047,54628193.0034346,38532492.9294318,48483227.8788699,44882436.5656393
"9","sll0023",705515.6060895,913791.537566,761050.926369,802784.5809644,1239304.694485,663336.094193,718596.229988,858500.423789,906867.338448,1021898.482584,842384.553406,1333011.687765,818857.339279,1538551.161044,265532.5892522,900728.687262,1563957.029234,1109192.327667,1531865.757516,1672501.950526
"10","sll0033",1489703.03983,1696623.13132,1039292.39215,1243465.49528,1426062.11736,1040061.76163,945393.105478,603779.19339,1834916.29566,1476141.92761,351104.272954,1402946.39715,573799.785192,1353255.27644,1245320.15617,1027849.28498,59543.3220086,141408.477397,1007398.81971,875733.832254
"11","sll0034",490829.656195,710986.880752,604152.140261,837591.450027,712762.218912,759187.233947,821438.17299,1010071.07766,688625.177385,876500.891854,599970.494474,859344.785179,559630.396764,696639.169388,657820.992016,587190.589768,359427.815383,293022.707042,553144.581884,188903.718047
"12","sll0036",153805.703188,190354.035773,323754.143066,117061.293283,112216.436355,201412.426194,163683.266703,173259.681308,371297.82222,356023.482852,338822.538046,427927.574904,269946.89874,374523.583341,339312.007951,316754.023513,351905.645572,299987.135408,434136.863831,315511.370462
"13","sll0037",305528.346242,141589.371287,189261.055721,154449.416022,137016.832194,150138.877034,179075.198335,485437.223457,314509.226223,223717.290877,374068.497209,196421.810171,1159245.97764,257294.794828,268991.261281,214355.253999,228291.792275,174126.875071,159848.035563,223244.461308
"14","sll0038",828257.976602,1978179.363482,1064274.602895,1001070.092695,1225508.065171,738481.319095,812807.846003,712562.552733,1667268.483558,3129100.84215,1291121.938267,3788601.35373,1102943.87564,2821137.33828,2227870.507281,2047675.032595,4131440.12685,2914719.21839,4830053.55506,3921198.17145
"15","sll0039",6255296.52440821,6354019.3574751,4969147.38870177,4912318.8141494,5053171.59301979,5041271.0976248,4974642.26460209,4156291.28922048,4069225.72452214,2686409.99656633,4137597.06172491,2183221.07057057,4467819.75142953,2380090.78642937,3619177.75582556,3175788.21448767,1519506.3969393,1583620.2645467,1009971.62946894,1277327.80332688
"16","sll0041",2047910.163579,721810.400059,432062.697648,597330.4223,742155.548062,429841.498128,1805495.954591,527567.655834,322896.3769753,667905.100925,658140.671638,519352.965462,212231.312257,192773.0497199,407372.4349416,187211.6030954,231951.3787086,474637.385022,1218600.241359,257062.696948
"17","sll0042",2314589.737247,2593525.632427,1998936.4802036,4599089.179206,1114487.662986,1741472.755303,2066517.392862,752715.617921,1795337.607921,1074200.792002,2769903.06411,1306593.871235,1213776.401045,1097489.437007,1177712.119251,1290391.392468,894330.195019,833036.263903,470989.7689242,324824.7923131
"18","sll0043",42454.5414663,300278.404991,324705.852475,305544.797541,563613.101142,267907.617041,406340.94126,376390.119894,334319.454565,511233.862927,295041.14413,400607.217795,295139.288414,440889.287997,390746.392429,387081.222694,547307.864238,675570.603737,473113.350168,426775.718116
"19","sll0044",151080.213261,229219.192805,245546.478969,175594.711456,68820.743338,187205.132029,103737.429789,374899.609896,170376.091262,158171.20332,186596.891858,106106.648908,171338.224198,92055.3598193,102213.267641,108702.339753,47774.6872828,46404.2108617,39482.7016122,17470.0648743
"20","sll0048",1296838.38472,989935.813902,645101.293119,729755.79907,655337.345132,461383.91234,521121.191664,768497.732989,579487.43026,413397.009489,502511.682284,633911.214238,447679.977708,592265.992217,531523.633443,534288.322807,832842.503987,540195.273643,666532.48329,621001.309408
"21","sll0051",21957646.699725,21315198.175009,23282178.858371,26925094.902353,14515693.356939,17068479.335048,14992608.23527,680788.427512,1326316.405066,2079455.131483,14293141.023002,11851865.080959,11161761.519313,9016931.550504,11388224.291667,8196228.468661,5231782.383337,6996356.187748,6230952.876273,6542495.766915
"22","sll0053",1409101.70198,1683062.55761,1122730.25771,1209601.48394,1431832.33574,975729.735234,1193475.64065,961716.041289,1202756.70816,1753782.66714,860178.19033,1659390.02081,649082.4301,1272107.30157,1348384.08448,1109281.10549,1685891.3494,1455274.41291,2169019.30387,667649.635911
"23","sll0057",29363266.6903,19321298.33021,16715283.71482,15584528.889011,17187711.24383,15392683.101403,15195077.42637,16845009.18339,16867535.33641,14199649.786856,18457622.204479,12486865.476046,22259509.019755,12427890.829325,16478143.169101,17236114.332765,9822417.9353335,10415941.798921,11134142.506736,7541645.38474
"24","sll0058",32039801.4513503,20171998.101553,15905162.7323602,19618137.2268593,23881461.3938086,20386488.8922799,20402728.7267046,18529836.8987261,39757410.7711473,40379262.2869591,33822427.48101,63195627.9327769,37157304.5313641,41412541.403985,44167148.4624456,47764500.5515785,44609310.2286053,41144047.3086849,28944440.6828197,33507011.7521474
"25","sll0064",2997631.2228836,1897483.983354,12845978.671154,14023100.44533,6102369.113961,2117552.80851,7697769.3935443,6125307.621533,5566696.40684,3001700.96437,6476875.87149,1582412.487086,6249750.741955,2424889.406806,3189830.030376,2074305.788282,701302.010837,776770.485533,822125.985984,319997.0922123
"26","sll0066",288154.842158,456084.251116,281747.039559,274493.783647,486180.79887,321725.845918,238085.042076,298249.267721,422834.185316,421326.334955,315147.972433,393112.735417,275719.277446,464691.732222,295593.155261,440194.104376,437316.643073,814320.239608,499516.121229,418102.980053
"27","sll0067",13181057.3639,2946962.77421,2327318.42104,2675252.72339,2584377.92486,2313346.90639,2113576.44152,1893450.04697,16351410.3325,2624574.78086,2325424.03491,3182650.9303,2123799.95006,2718289.36708,2675719.11786,2566086.56496,3336308.7162,3303520.05238,2829974.79724,2808865.65247
"28","sll0068",324135.283904,426871.321236,214520.7915776,317817.210173,227626.7670179,287309.844309,242977.499932,381449.274593,343539.295524,437924.250781,346713.947504,466715.137036,220948.5402685,368106.633164,290299.648575,255836.605583,388927.302639,301638.7235,577816.918359,292855.035953
"29","sll0069",1816526.613841,1862194.570598,1523954.078879,2067988.829247,3466066.378,1018513.249507,1468395.178983,1117869.432781,719318.5812084,1532283.227026,1698127.515326,919293.582161,611177.847254,1405255.608622,1387526.679781,657368.2059666,792230.4750401,887320.0951206,1089869.702817,1620307.829016
