"strain","gene_id","go_level","go_description","go_id"
"Synechocystis","sll0005","Biological Process","protein amino acid phosphorylation","GO:0006468"
"Synechocystis","sll0005","Molecular Function","ATP binding","GO:0005524"
"Synechocystis","sll0005","Molecular Function","protein kinase activity","GO:0004672"
"Synechocystis","sll0006","Biological Process","biosynthetic process","GO:0009058"
"Synechocystis","sll0006","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","sll0006","Molecular Function","pyridoxal phosphate binding","GO:0030170"
"Synechocystis","sll0006","Molecular Function","transferase activity, transferring nitrogenous groups","GO:0016769"
"Synechocystis","sll0010","Molecular Function","nucleic acid binding","GO:0003676"
"Synechocystis","sll0012","Biological Process","transposition, DNA-mediated","GO:0006313"
"Synechocystis","sll0012","Molecular Function","DNA binding","GO:0003677"
"Synechocystis","sll0012","Molecular Function","transposase activity","GO:0004803"
"Synechocystis","sll0016","Biological Process","peptidoglycan turnover","GO:0009254"
"Synechocystis","sll0016","Cellular Component","outer membrane","GO:0019867"
"Synechocystis","sll0016","Molecular Function","hydrolase activity, hydrolyzing O-glycosyl compounds","GO:0004553"
"Synechocystis","sll0017","Biological Process","tetrapyrrole biosynthetic process","GO:0033014"
"Synechocystis","sll0017","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","sll0017","Molecular Function","glutamate-1-semialdehyde 2,1-aminomutase activity","GO:0042286"
"Synechocystis","sll0017","Molecular Function","pyridoxal phosphate binding","GO:0030170"
"Synechocystis","sll0017","Molecular Function","transaminase activity","GO:0008483"
"Synechocystis","sll0018","Biological Process","glycolysis","GO:0006096"
"Synechocystis","sll0018","Biological Process","metabolic process","GO:0008152"
"Synechocystis","sll0018","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","sll0018","Molecular Function","fructose-bisphosphate aldolase activity","GO:0004332"
"Synechocystis","sll0018","Molecular Function","zinc ion binding","GO:0008270"
"Synechocystis","sll0019","Biological Process","isoprenoid biosynthetic process","GO:0008299"
"Synechocystis","sll0019","Biological Process","metabolic process","GO:0008152"
"Synechocystis","sll0019","Biological Process","oxidation reduction","GO:0055114"
"Synechocystis","sll0019","Molecular Function","1-deoxy-D-xylulose-5-phosphate reductoisomerase activity","GO:0030604"
"Synechocystis","sll0019","Molecular Function","binding","GO:0005488"
"Synechocystis","sll0019","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","sll0019","Molecular Function","metal ion binding","GO:0046872"
"Synechocystis","sll0020","Biological Process","nucleotide-excision repair","GO:0006289"
"Synechocystis","sll0020","Biological Process","protein metabolic process","GO:0019538"
"Synechocystis","sll0020","Molecular Function","ATP binding","GO:0005524"
"Synechocystis","sll0020","Molecular Function","DNA binding","GO:0003677"
"Synechocystis","sll0020","Molecular Function","nuclease activity","GO:0004518"
"Synechocystis","sll0020","Molecular Function","nucleoside-triphosphatase activity","GO:0017111"
"Synechocystis","sll0020","Molecular Function","nucleotide binding","GO:0000166"
"Synechocystis","sll0020","Molecular Function","protein binding","GO:0005515"
"Synechocystis","sll0021","Biological Process","DNA metabolic process","GO:0006259"
"Synechocystis","sll0021","Molecular Function","exonuclease activity","GO:0004527"
"Synechocystis","sll0021","Molecular Function","hydrolase activity","GO:0016787"
"Synechocystis","sll0026","Biological Process","ATP synthesis coupled electron transport","GO:0042773"
"Synechocystis","sll0026","Biological Process","oxidation reduction","GO:0055114"
"Synechocystis","sll0026","Molecular Function","NADH dehydrogenase (ubiquinone) activity","GO:0008137"
"Synechocystis","sll0027","Biological Process","ATP synthesis coupled electron transport","GO:0042773"
"Synechocystis","sll0027","Biological Process","oxidation reduction","GO:0055114"
"Synechocystis","sll0027","Molecular Function","NADH dehydrogenase (ubiquinone) activity","GO:0008137"
"Synechocystis","sll0030","Biological Process","regulation of transcription, DNA-dependent","GO:0006355"
"Synechocystis","sll0030","Molecular Function","transcription factor activity","GO:0003700"
"Synechocystis","sll0031","Molecular Function","electron carrier activity","GO:0009055"
"Synechocystis","sll0031","Molecular Function","iron-sulfur cluster binding","GO:0051536"
"Synechocystis","sll0033","Biological Process","carotenoid biosynthetic process","GO:0016117"
"Synechocystis","sll0033","Molecular Function","isomerase activity","GO:0016853"
"Synechocystis","sll0034","Biological Process","proteolysis","GO:0006508"
"Synechocystis","sll0034","Molecular Function","peptidase activity","GO:0008233"
