,protein,X60,X100,X200,X300,X1000,Localization
1,slr1721,4735118,4208253,377851.,887694.,644247.,CytoplasmicMembrane
2,sll0934,5927401,5769535,1353058,1594978,1796187,Cytoplasmic
3,slr6042,145045.,135701.,268875.,680321.,633007.,Unknown
4,sll1825,1216458,829674.,523005.,463640.,467090.,Cytoplasmic
5,sll1663,9315460,7760526,1351813,1638084,2324976,Unknown
6,slr1975,577298.,572469.,2899182,3702443,4689300,Cytoplasmic
7,sll2011,143410.,113000.,201569.,234391.,508909.,Cytoplasmic
8,sll1808,1806226,1710976,3866160,4287409,6203461,Cytoplasmic
9,slr0077,567490.,523529.,1587766,2121252,2288817,Cytoplasmic
10,sll1688,9131537,8631375,1700208,1764119,3045263,Cytoplasmic
11,slr0652,4430130,3536828,4280827,4390464,6591200,Cytoplasmic
12,slr0633,723266.,802729.,2017556,1947567,2927783,Cytoplasmic
13,slr2004,4286445,3449846,1480187,1119884,714710.,Unknown
14,sll8007,134714.,130513.,973247.,806460.,1174249,Cytoplasmic
15,sll0427,4819058,4617757,4144741,1079281,3312283,Unknown
16,ssl2781,1541150,1995796,6072268,7056605,6824613,Unknown
17,sll0272,1378940,1134342,1560832,1675616,3062956,Unknown
18,sll0764,5278724,4336159,2664596,1970972,811873.,Cytoplasmic
19,ssl1300,100131.,95243.2,349866.,663985.,1189915,Unknown
20,slr0841,1177783,1086867,3311305,2936767,4034603,Extracellular
21,sll7090,460792.,171945.,195730.,154024.,112481.,Unknown
22,sll1583,8515428,5490942,4484086,4386237,2398834,Cytoplasmic
23,slr0006,3188389,2434090,7011657,8396937,1983459,Unknown
24,sll1721,8999234,7970577,3399812,2280520,1212820,Cytoplasmic
25,slr0552,9412190,8611111,1523561,1588833,2707427,Unknown
26,slr2089,1969059,1231300,2963114,2749013,4766922,CytoplasmicMembrane
27,sll1452,3671212,4133893,1122544,1200187,2030659,CytoplasmicMembrane
28,slr0212,1971271,1581271,1027751,672470.,421527.,Cytoplasmic
29,slr1542,1651723,1514885,2234452,2527127,3673684,Cytoplasmic
30,ssl1426,5008303,5368275,7215896,7506484,1467450,Cytoplasmic
31,slr1367,2416747,1890941,4508911,4060465,9223221,Cytoplasmic
32,slr1164,685401.,641802.,2443898,2297590,2822586,Cytoplasmic
33,slr0551,3485958,3670852,8006163,9632723,1228350,Cytoplasmic
34,sll0851,5077994,3926102,3091833,2041233,6410152,CytoplasmicMembrane
35,sll1069,1063095,9720868,4399817,3797284,3575659,CytoplasmicMembrane
36,slr1755,833412.,642277.,1746341,1766847,2884902,Cytoplasmic
37,sll0897,3967876,3212220,7587272,7206839,1035484,Cytoplasmic
38,sml0008,1141524,1429288,5100171,4932030,5669188,Unknown
39,sll1188,1386057,1369754,137459.,150715.,129204.,Cytoplasmic
40,sll0170,3730287,3670208,7268649,9270753,1116615,Cytoplasmic
41,sll1579,1244590,1341258,4951852,4298109,6708463,CytoplasmicMembrane
42,sll1184,3292637,4011273,5907669,6464926,8305055,Unknown
43,slr1282,2917964,2944189,4951336,7248687,1214335,Cytoplasmic
44,slr0083,1854447,1111707,3405961,4051570,5069122,Cytoplasmic
45,slr0542,4648453,4719228,901996.,709018.,623577.,Cytoplasmic
46,sll1043,1550165,1359527,4198472,3941390,5817508,Cytoplasmic
47,slr0963,5265503,4961878,9998681,9859901,1711565,Cytoplasmic
48,sll7086,880053.,292737.,330133.,286394.,242949.,Unknown
49,slr1854,1582396,1056911,3903316,3811589,5049805,Cytoplasmic
50,slr1265,1128841,1055873,2743531,2997794,4022445,Cytoplasmic
51,sll1196,661026.,407717.,536424.,371955.,121790.,Cytoplasmic
52,slr1658,7895225,6773061,5647488,3910271,1407072,Unknown
53,sll1252,765480.,552713.,1165848,1153263,1154985,Cytoplasmic
54,slr1362,227534.,228162.,705130.,901747.,1223532,Unknown
55,sll1740,1723313,1727080,1632708,1204208,618531.,Cytoplasmic
56,slr2001,1471244,1759438,3625379,3125359,3917709,Unknown
57,slr1744,5931746,7425502,1622496,2152581,2733487,Unknown
58,slr0649,2146010,1774605,3571502,4754388,7391532,Cytoplasmic
59,sll0634,438210.,409238.,2090442,1826256,2050165,Unknown
60,sll0639,341581.,303655.,616507.,609563.,1271338,Unknown
61,slr1666,1936209,1334228,5691110,4367512,3102492,Cytoplasmic
62,ssl2874,7121513,6029217,1403021,1746360,2066480,Unknown
63,sll0861,1037938,809641.,1447695,1513791,3003447,Cytoplasmic
64,slr1022,1794526,1817433,4494870,4289436,4141269,Cytoplasmic
65,slr0443,731309.,1075998,3860112,3339968,5910919,Cytoplasmic
66,sll1789,1243128,1025164,2530103,2441663,3666544,Cytoplasmic
67,ssl3441,3198012,3354266,4486042,5803657,1019988,Cytoplasmic
68,sll1258,1044854,587121.,2546084,2523606,1352177,Cytoplasmic
69,slr2136,2777881,2673415,543996.,376766.,459595.,Cytoplasmic
70,sll0486,584639.,273093.,359461.,405631.,696019.,Cytoplasmic
71,ssr1600,1025106,1023214,1016220,5074662,6695261,Unknown
72,slr1055,1107971,1316382,3047224,3342319,6569102,Cytoplasmic
73,sll1101,9923047,9852489,2546560,2679093,1237938,Cytoplasmic
74,slr1176,4212514,4022459,6130271,4627751,2184216,Cytoplasmic
75,slr0670,2931338,3329053,3756311,2619375,1407796,Cytoplasmic
76,sll0622,224925.,255131.,564062.,562512.,1014149,Cytoplasmic
77,sll1097,2017351,2208824,3958183,4630699,5595341,Cytoplasmic
78,slr1196,1595328,3594028,4539978,5564864,7701063,Unknown
79,slr1559,1534632,1855092,469409.,443369.,474776.,Cytoplasmic
80,slr0925,7094116,5877504,1705589,1226828,1241652,Cytoplasmic
81,sll1526,1079279,9523966,8017360,6952266,3574520,Cytoplasmic
82,sll1987,3471565,2822557,3932027,2588403,1385962,Cytoplasmic
83,slr1226,4198285,3557453,5965944,6043610,8959480,Cytoplasmic
84,sll0336,746761.,617622.,2655444,2383603,2444807,Cytoplasmic
85,slr0361,1115984,917195.,1609272,1868404,2910178,Cytoplasmic
86,slr1150,430187.,270649.,2711670,2019431,2863447,Unknown
87,slr0355,1996555,1680700,3411977,4261556,5328192,Unknown
88,slr0752,1715562,1411998,6960889,3756117,1628242,Cytoplasmic
89,sll1525,4304084,3687771,1819779,1352487,7951215,Cytoplasmic
90,sll1872,421815.,506540.,748875.,706217.,709253.,CytoplasmicMembrane
91,slr0783,8339971,7005571,1330283,1308765,1113850,Cytoplasmic
92,sll0188,645906.,590009.,2066454,2025047,2877178,Unknown
93,slr1624,1023251,921115.,967139.,1095725,1667698,Cytoplasmic
94,sll0430,7193090,7246994,2120376,1977455,3488684,Cytoplasmic
95,sll2002,1304372,1341637,2305380,2099925,3229630,Unknown
96,ssr3451,5690106,2975367,2307930,1539273,1579691,Unknown
97,slr0848,824689.,529150.,1994864,1857451,1768812,Cytoplasmic
98,slr1351,1277351,1418699,2808248,3272576,3194701,Cytoplasmic
99,ssl2598,7457137,5806677,316835.,128042.,244673.,CytoplasmicMembrane
100,sll0179,1911165,2319425,4297022,3941066,4678251,Cytoplasmic
101,ssl0242,6600899,7999939,1984054,2589602,3087826,Unknown
