,protein,X60,X100,X200,X300,X1000
1,slr1721,4735118,4208253,377851.,887694.,644247.
2,sll0934,5927401,5769535,1353058,1594978,1796187
3,slr6042,145045.,135701.,268875.,680321.,633007.
4,sll1825,1216458,829674.,523005.,463640.,467090.
5,sll1663,9315460,7760526,1351813,1638084,2324976
6,slr1975,577298.,572469.,2899182,3702443,4689300
7,sll2011,143410.,113000.,201569.,234391.,508909.
8,sll1808,1806226,1710976,3866160,4287409,6203461
9,slr0077,567490.,523529.,1587766,2121252,2288817
10,sll1688,9131537,8631375,1700208,1764119,3045263
11,slr0652,4430130,3536828,4280827,4390464,6591200
12,slr0633,723266.,802729.,2017556,1947567,2927783
13,slr2004,4286445,3449846,1480187,1119884,714710.
14,sll8007,134714.,130513.,973247.,806460.,1174249
15,sll0427,4819058,4617757,4144741,1079281,3312283
16,ssl2781,1541150,1995796,6072268,7056605,6824613
17,sll0272,1378940,1134342,1560832,1675616,3062956
18,sll0764,5278724,4336159,2664596,1970972,811873.
19,ssl1300,100131.,95243.2,349866.,663985.,1189915
20,slr0841,1177783,1086867,3311305,2936767,4034603
21,sll7090,460792.,171945.,195730.,154024.,112481.
22,sll1583,8515428,5490942,4484086,4386237,2398834
23,slr0006,3188389,2434090,7011657,8396937,1983459
24,sll1721,8999234,7970577,3399812,2280520,1212820
25,slr0552,9412190,8611111,1523561,1588833,2707427
26,slr2089,1969059,1231300,2963114,2749013,4766922
27,sll1452,3671212,4133893,1122544,1200187,2030659
28,slr0212,1971271,1581271,1027751,672470.,421527.
29,slr1542,1651723,1514885,2234452,2527127,3673684
30,ssl1426,5008303,5368275,7215896,7506484,1467450
31,slr1367,2416747,1890941,4508911,4060465,9223221
32,slr1164,685401.,641802.,2443898,2297590,2822586
33,slr0551,3485958,3670852,8006163,9632723,1228350
34,sll0851,5077994,3926102,3091833,2041233,6410152
35,sll1069,1063095,9720868,4399817,3797284,3575659
36,slr1755,833412.,642277.,1746341,1766847,2884902
37,sll0897,3967876,3212220,7587272,7206839,1035484
38,sml0008,1141524,1429288,5100171,4932030,5669188
39,sll1188,1386057,1369754,137459.,150715.,129204.
40,sll0170,3730287,3670208,7268649,9270753,1116615
41,sll1579,1244590,1341258,4951852,4298109,6708463
42,sll1184,3292637,4011273,5907669,6464926,8305055
43,slr1282,2917964,2944189,4951336,7248687,1214335
44,slr0083,1854447,1111707,3405961,4051570,5069122
45,slr0542,4648453,4719228,901996.,709018.,623577.
46,sll1043,1550165,1359527,4198472,3941390,5817508
47,slr0963,5265503,4961878,9998681,9859901,1711565
48,sll7086,880053.,292737.,330133.,286394.,242949.
49,slr1854,1582396,1056911,3903316,3811589,5049805
50,slr1265,1128841,1055873,2743531,2997794,4022445
51,sll1196,661026.,407717.,536424.,371955.,121790.
