protein,X60_1,X60_2,X60_3,X60_4,X100_1,X100_2,X100_3,X100_4,X200_1,X200_2,X200_3,X200_4,X300_1,X300_2,X300_3,X300_4,X1000_1,X1000_2,X1000_3,X1000_4,F_distribution,Pvalue,Result
sll0002,378501.44955,228655.038207,80795.6765195,111445.438329,269969.85212399997,145199.300149,72272.6521457,107682.762856,163260.191918,103159.807535,76150.08430039999,107992.15843099999,131338.918696,247333.006819,178434.517289,174664.674276,216500.61019,162933.433072,376343.018865,123931.30101199998,0.871429231796636,0.5037199022448795,no
sll0006,5248117.50291,4423997.477659999,2428487.80022,2221739.07803,3657226.0632300004,1743149.7347590001,3053397.896197,948244.0429979999,2635012.2697900003,2457939.13255,2518620.84026,3283434.79625,1704320.5630639999,1648631.906692,1625493.6919540002,1901252.4282900002,1867869.2253810002,2215589.836905,4010416.285964,3029453.8453369997,1.916864325907424,0.1598787780884803,no
sll0007,2704805.00064,2120015.644278,1653064.696178,1857739.177502,2750758.85875,1635077.913521,1701698.2179110001,1299046.41625,3072681.929912,2780294.88737,2942168.745187,2675478.73589,5025207.758017,2752636.6510400004,3369172.751848,2885913.357961,6805216.49363,3519123.74174,4372831.8654,1476021.9137620002,2.615651070388408,0.07713656974499529,no
sll0016,298721.582110474,1469661.39996917,774090.307450266,863748.0752091929,938844.315380975,803860.386186651,1169564.25215279,1850825.65648413,2666316.93841525,3002592.62693647,1197497.3308025,1547816.56447236,1473146.73412884,1476407.4693824,2802613.31714437,2644126.74194777,948787.45236933,4152778.41613821,2350663.56985809,2951314.60174753,2.986324776972435,0.053460794183072105,no
sll0017,8038509.24132928,15636209.816053601,12414745.682703199,14159911.1217318,11136035.1169036,14581099.065097101,12966523.531546699,15130928.965154199,25493058.254582603,25301278.9806123,21198672.0349474,28200417.3821253,19941246.9008422,26020635.450899303,23830382.475045998,21900687.493785396,35766237.133279294,24401159.605172303,34181693.494723104,23587214.7864008,15.718688129374456,3.0459958114092673e-05,yes
sll0018,48464111.1801,39549142.310729995,60890617.5809,50510850.6216,28419053.1759,59285769.4056,58853221.2522,52626304.52048,29394206.345179997,15847734.90867,36388269.73525,11990832.1611,33287858.60382,9612711.86611,10404646.443219999,12910064.98353,4517918.207448,3651835.3361230004,4784374.84447,2072402.624357,15.430999928813927,3.3953483938895195e-05,yes
sll0019,5018675.83015018,4718435.554743401,3395364.12886789,3576885.14304338,3951580.51063824,2583656.01521015,3283226.49617249,1339212.95162576,4938031.24232601,5317345.5575987995,4415378.09348132,6461985.23878542,4342767.34493395,6016563.87115074,5032071.47135632,4855703.35957848,7092485.27928566,5782115.19895573,8482828.13686448,5596342.22891311,8.583818068169034,0.0008237042529677653,yes
sll0020,21557939.2949903,22153879.048591502,16568557.3165428,14491069.261864802,21157650.866353,13829322.8560278,15021640.456536401,9413524.20383479,30712807.332526002,32617070.015343398,24582582.3903776,36569763.6523534,22625201.9529624,37858667.50296839,32844708.618609697,30395145.9482047,54628193.0034346,38532492.929431796,48483227.8788699,44882436.565639295,21.049601391325837,5.177565664332637e-06,yes
sll0023,705515.6060895,913791.537566,761050.926369,802784.5809644,1239304.694485,663336.094193,718596.229988,858500.423789,906867.3384479999,1021898.482584,842384.553406,1333011.687765,818857.339279,1538551.161044,265532.58925220004,900728.687262,1563957.029234,1109192.327667,1531865.757516,1672501.950526,3.2200928894654273,0.04273240192145342,yes
sll0033,1489703.03983,1696623.1313200002,1039292.39215,1243465.49528,1426062.11736,1040061.76163,945393.105478,603779.1933899999,1834916.2956599998,1476141.9276100001,351104.272954,1402946.39715,573799.785192,1353255.27644,1245320.15617,1027849.2849799999,59543.3220086,141408.477397,1007398.8197100001,875733.8322540001,2.2269828212063545,0.11501861212562074,no
